lokacija,sobno,nadstropje,leto,velikost,cena
AJDOVŠČINA,2-sobno,1,1925,"49,72 ","95.000,00"
"AJDOVŠČINA, CENTER",2-sobno,1,1950,"32,26 ","75.000,00"
"AJDOVŠČINA, RIBNIK",2-sobno,3,1987,"56,00 ","143.000,00"
BATUJE,3-sobno,M,2020,"79,70 ","165.000,00"
"BATUJE, AJDOVŠČINA, ATRIJ",4-sobno,P,2020,"102,30 ","203.000,00"
BOVEC,Garsonjera,P,1983,"29,00 ","90.000,00"
BOVEC,Apartma,P,1983,"29,00 ","90.000,00"
BOVEC,Apartma,2,1980,"35,00 ","101.000,00"
BOVEC,Apartma,2,1983,"35,00 ","101.000,00"
BOVEC,2-sobno,VP,2005,"43,00 ","148.000,00"
BOVEC,"1,5-sobno",2,1980,"46,40 ","145.600,00"
BOVEC,2-sobno,2,2007,"57,00 ","170.000,00"
DOBROVO,1-sobno,P,1978,"43,30 ","75.000,00"
IDRIJA,2-sobno,M,1860,"87,20 ","93.000,00"
KOBARID,2-sobno,1,1977,"68,50 ","179.000,00"
MIREN,"2,5-sobno",P,1999,"69,35 ","139.000,00"
NOVA GORICA,3-sobno,2,1980,"68,60 ","160.000,00"
NOVA GORICA,3-sobno,P,1998,"79,51 ","189.000,00"
NOVA GORICA,3-sobno,VP,1960,"81,26 ","175.000,00"
NOVA GORICA,3-sobno,VP,1953,"91,60 ","200.000,00"
"NOVA GORICA, CENTER, DELPINOVA","3,5-sobno",P,1957,"99,10 ","173.000,00"
PODBRDO,"3,5-sobno",3,1920,"113,00 ","61.500,00 &euro;<span class=""cena-old"">62.000,00"
"ROŽNA DOLINA, VILA",3-sobno,1,2021,"79,50 ","183.000,00"
ŠEMPAS,2-sobno,1,2002,"56,70 ","105.000,00"
ŠEMPETER PRI GORICI,2-sobno,2,1953,"50,81 ","105.000,00"
"VIPAVA, SLOVENIJA",3-sobno,P,2021,"50,00 ","120.000,00"
